pup_tagleft,dam_origin_tag_left,dam_rearing_tag_left,pup_alpha_taglft,dam_origin_alpha_taglft,dam_rearing_alpha_taglft
12901,19377,22998,A2901,A9377,B2998
12903,19377,22998,A2903,A9377,B2998
12905,22998,22998,A2905,B2998,B2998
12907,36026,36026,A2907,C6026,C6026
12909,19427,36026,A2909,A9427,C6026
12911,19427,36026,A2911,A9427,C6026
12913,19427,19427,A2913,A9427,A9427
12915,41164,41164,A2915,D1164,D1164
12917,41164,41164,A2917,D1164,D1164
12919,41276,41164,A2919,D1276,D1164
12921,41276,41164,A2921,D1276,D1164
12923,41276,41276,A2923,D1276,D1276
12925,41164,41276,A2925,D1164,D1276
12981,23964,19606,A2981,B3964,A9606
12983,23964,23964,A2983,B3964,B3964
12985,19606,23964,A2985,A9606,B3964
12986,23964,23964,A2986,B3964,B3964
12989,19606,19606,A2989,A9606,A9606
41025,20126,20126,D1025,B0126,B0126
41027,20126,20126,D1027,B0126,B0126
41029,36363,20126,D1029,C6363,B0126
41101,36226,36226,D1101,C6226,C6226
41150,20961,15087,D1150,B0961,A5087
41152,15087,15087,D1152,A5087,A5087
41154,20961,15087,D1154,B0961,A5087
41156,15087,15087,D1156,A5087,A5087
41192,41164,41276,D1192,D1164,D1276
41238,36363,20126,D1238,C6363,B0126
41243,20961,20961,D1243,B0961,B0961
41244,20961,20961,D1244,B0961,B0961
41246,15087,20961,D1246,A5087,B0961
41248,15087,20961,D1248,A5087,B0961
41252,36226,36226,D1252,C6226,C6226
41254,36236,36226,D1254,C6236,C6226
41256,36236,36226,D1256,C6236,C6226
41259,36226,36236,D1259,C6226,C6236
41260,36236,36236,D1260,C6236,C6236
41262,36226,36236,D1262,C6226,C6236
41270,34128,34128,D1270,C4128,C4128
41272,29340,34128,D1272,B9340,C4128
41274,29340,34128,D1274,B9340,C4128
41280,23578,41072,D1280,B3578,D1072
41282,41072,41072,D1282,D1072,D1072
41284,41072,41072,D1284,D1072,D1072
41286,41072,41072,D1286,D1072,D1072
41288,36309,36311,D1288,C6309,C6311
41290,36309,36311,D1290,C6309,C6311
41292,36311,36311,D1292,C6311,C6311
41294,23578,23578,D1294,B3578,B3578
41296,41072,23578,D1296,D1072,B3578
41300,36624,36414,D1300,C6624,C6414
41301,34278,34278,D1301,C4278,C4278
41303,22495,34278,D1303,B2495,C4278
41305,34278,34278,D1305,C4278,C4278
41307,22495,34278,D1307,B2495,C4278
41309,34278,22495,D1309,C4278,B2495
41311,22495,22495,D1311,B2495,B2495
41313,22495,22495,D1313,B2495,B2495
