grid,year,bucket_reflo,squirrel_id_spring
AG,2016,0 0,19308
AG,2017,0 0,22630
AG,2016,0 15,12176
AG,2017,0 15,12176
AG,2006,0,
AG,2007,0,8559
AG,2008,0,8559
AG,2009,0,10465
AG,2010,0,10465
AG,2012,0,11471
AG,2013,0,13410
AG,2014,0,13410
AG,2016,0,22069
AG,2017,0,22630
AG,2006,0.9,7165
AG,2007,0.9,8563
AG,2008,0.9,8563
AG,2009,0.9,12090
AG,2010,0.9,12090
AG,2012,0.9,12090
AG,2013,0.9,12090
AG,2014,0.9,12090
AG,2016,0.9,21883
AG,2017,0.9,22526
AG,2006,15,7775
AG,2007,15,7775
AG,2008,15,8736
AG,2009,15,8736
AG,2010,15,10878
AG,2012,15,10345
AG,2013,15,12176
AG,2014,15,12176
AG,2006,2,7003
AG,2007,2,10307
AG,2008,2,10307
AG,2009,2,10307
AG,2010,2,10307
AG,2012,A.23.,10978
AG,2013,A.23.,12280
AG,2014,A.23.,12280
AG,2016,A.23.,21469
AG,2017,A.23.,22157
AG,2005,A0.,
AG,2006,A0.,
AG,2007,A0.,10260
AG,2008,A0.,10260
AG,2009,A0.,10260
AG,2010,A0.,10260
AG,2012,A0.,12554
AG,2013,A0.,12554
AG,2014,A0.,12554
AG,2016,A0.,20782
AG,2017,A0.,20782
AG,2012,A0,12553
AG,2013,A0,12553
AG,2014,A0,12553
AG,2016,A0,22038
AG,2017,A0,22038
AG,2006,A14.,7764
AG,2007,A14.,7764
AG,2008,A14.,10168
AG,2009,A14.,10168
AG,2010,A14.,10893
AG,2012,A14.,12147
AG,2013,A14.,12147
AG,2014,A14.,12147
AG,2016,A14.,21344
AG,2017,A14.,20184
AG,2007,A18,
AG,2008,A18,10702
AG,2009,A18,10464
AG,2010,A18,10464
AG,2012,A18,12082
AG,2013,A18,12082
AG,2014,A18,12082
AG,2016,A18,22108
AG,2017,A18,22108
AG,2005,A2,7119
AG,2006,A2,8568
AG,2007,A2,8568
AG,2008,A2,8568
AG,2009,A2,10456
AG,2010,A2,10805
AG,2012,A2,10986
AG,2013,A2,12120
AG,2014,A2,12120
AG,2016,A2,22005
AG,2017,A2,22005
AG,2007,A22.,
AG,2008,A22.,8565
AG,2009,A22.,
AG,2010,A22.,10978
AG,2005,A26.,6936
AG,2006,A26.,6936
AG,2007,A26.,
AG,2006,A27,6936
AG,2006,B.26,
AG,2007,B.26,
AG,2005,B.9.,7165
AG,2006,B.9.,
AG,2012,B.9.,11739
AG,2013,B.9.,12926
AG,2014,B.9.,12926
AG,2016,B.9.,12926
AG,2017,B.9.,12926
AG,2012,B1.,12880
AG,2013,B1.,12880
AG,2014,B1.,19519
AG,2016,B1.,22019
AG,2017,B1.,22518
AG,2005,B12.,7000
AG,2006,B12.,7000
AG,2007,B12.,7795
AG,2008,B12.,10631
AG,2009,B12.,10631
AG,2010,B12.,12713
AG,2012,B12.,11851
