squirrel_id,generation,maternal_generation
720,0,0
721,0,0
738,0,0
842,0,0
882,0,0
893,0,0
894,0,0
895,0,0
896,0,0
900,0,0
962,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,0,0
969,0,0
1001,0,0
1002,0,0
732,0,0
889,0,0
961,0,0
1000,0,0
1003,0,0
725,0,0
740,0,0
884,0,0
901,0,0
963,0,0
980,0,0
726,0,0
1013,0,0
987,0,0
992,0,0
996,0,0
878,0,0
925,0,0
1006,0,0
1018,0,0
993,0,0
1007,0,0
1008,0,0
771,0,0
886,0,0
910,0,0
911,0,0
735,0,0
776,0,0
909,0,0
923,0,0
932,0,0
942,0,0
953,0,0
972,0,0
933,0,0
994,0,0
995,0,0
1010,0,0
736,0,0
805,0,0
997,0,0
1015,0,0
1059,0,0
806,0,0
858,0,0
936,0,0
991,0,0
998,0,0
1009,0,0
837,0,0
1014,0,0
832,0,0
971,0,0
887,0,0
938,0,0
758,0,0
764,0,0
935,0,0
1005,0,0
914,0,0
772,0,0
774,0,0
937,0,0
913,0,0
807,0,0
856,0,0
907,0,0
912,0,0
813,0,0
819,0,0
892,0,0
985,0,0
825,0,0
924,0,0
947,0,0
970,0,0
943,0,0
958,0,0
974,0,0
919,0,0
944,0,0
948,0,0
844,0,0
845,0,0
921,0,0
959,0,0
934,0,0
945,0,0
946,0,0
957,0,0
960,0,0
986,0,0
1004,0,0
988,0,0
1058,0,0
782,0,0
891,0,0
890,0,0
747,0,0
833,0,0
916,0,0
973,0,0
1061,0,0
922,0,0
917,0,0
918,0,0
927,0,0
841,0,0
999,0,0
759,0,0
760,0,0
799,0,0
888,0,0
746,0,0
808,0,0
743,0,0
744,0,0
745,0,0
1011,0,0
1012,0,0
824,0,0
940,0,0
954,0,0
1060,0,0
809,0,0
812,0,0
827,0,0
834,0,0
920,0,0
949,0,0
843,0,0
956,0,0
1016,0,0
2839,0,0
2840,0,0
2801,0,0
2802,0,0
2803,0,0
2804,0,0
2805,0,0
2806,0,0
2796,0,0
2800,0,0
2807,0,0
2808,0,0
2809,0,0
2813,0,0
2816,0,0
2825,0,0
2820,0,0
2821,0,0
2822,0,0
2812,0,0
2814,0,0
2815,0,0
2817,0,0
2797,0,0
2798,0,0
2799,0,0
2810,0,0
2811,0,0
2830,0,0
2827,0,0
2828,0,0
2829,0,0
2831,0,0
2836,0,0
2837,0,0
2838,0,0
2818,0,0
2819,0,0
4497,0,0
4503,0,0
4505,0,0
4658,0,0
4768,0,0
5354,0,0
5532,0,0
5810,0,0
4504,0,0
4508,0,0
4509,0,0
4510,0,0
4511,0,0
4512,0,0
4563,0,0
4570,0,0
4672,0,0
4680,0,0
4765,0,0
4767,0,0
4778,0,0
4844,0,0
4845,0,0
